Value,Type,Reference,Bedrooms,Bathrooms,Furnishing,Size,Amenities,Agency,Location
"6,500 QAR Monthly",Apartment,AP2831,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Marina Gate - Porto Arabia - The Pearl - Doha
"7,000 QAR Monthly",Apartment,AP2812,studio,1,Furnished,                                        667 sqft                          /              62 sqm                      ,Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, West Bay Villas - West Bay - West Bay - Doha
"6,700 QAR Monthly",Apartment,AP2820,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Imperial Diamond - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP2639B,studio,1,Partly furnished,                                        657 sqft                          /              61 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Viva West - Viva Bahriyah - The Pearl - Doha
"7,500 QAR Monthly",Apartment,403-WB-STU-FF,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,ABHome Real Estate, West Bay Tower - West Bay - West Bay - Doha
"6,500 QAR Monthly",Apartment,AP2639.,studio,1,Partly furnished,                                        657 sqft                          /              61 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Imperial Diamond - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,AP2829,studio,1,Partly furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Marina Gate - Porto Arabia - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP2828,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Marina Gate - Porto Arabia - The Pearl - Doha
"6,600 QAR Monthly",Apartment,5303-VB-ST66-FF,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,ABHome Real Estate, Viva West - Viva Bahriyah - The Pearl - Doha
"6,700 QAR Monthly",Apartment,nelsonpark-1957510,studio,1,Furnished,                                        570 sqft                          /              53 sqm                      ,Balcony - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,NelsonPark Property , Viva West - Viva Bahriyah - The Pearl - Doha
