Size,Bedrooms,Bathrooms,Nr of amenities,Balcony,Built in Wardrobes,Maids Room,Private Garden,Type_Apartment,Type_Compound,Type_Duplex,Type_Hotel Apartments,Type_Penthouse,Type_Townhouse,Type_Villa,Furnishing_Furnished,Furnishing_Partly furnished,Furnishing_Unfurnished,Location_Abu Hamour,Location_Ain Khaled,Location_Airport Area,Location_Al Aziziyah,Location_Al Dafna,Location_Al Duhail,Location_Al Ghanim,Location_Al Gharrafa,Location_Al Hilal,Location_Al Hitmi,Location_Al Jasra,Location_Al Jebailat,Location_Al Luqta,Location_Al Maamoura,Location_Al Mansoura,Location_Al Markhiya,Location_Al Messila,Location_Al Mirqab,Location_Al Mirqab Al Jadeed,Location_Al Muntazah,Location_Al Najada,Location_Al Nasr,Location_Al Nuaija,Location_Al Rawda,Location_Al Rayyan,Location_Al Sadd,Location_Al Sakhama,Location_Al Soudan,Location_Al Thumama,Location_Al Waab,Location_AlMuraikh,Location_B-Ring Road,Location_Barwa City,Location_Business District,Location_Corniche Road,Location_D-Ring,Location_Diplomats Area,Location_Doha Al Jadeed,Location_E-Ring,Location_Esghawa,Location_Fereej Abdel Aziz,Location_Fereej Abdul Aziz,Location_Fereej Al Ali,Location_Fereej Bin Mahmoud,Location_Fereej Bin Omran,Location_Fereej Kulaib,Location_Hazm Al Markhiya,Location_Izghawa,Location_Jeliah,Location_Madinat Khalifa,Location_Mesaimeer,Location_Msheireb Downtown Doha,Location_Muaither Area,Location_Mughalina,Location_Musheireb,Location_Najma,Location_New Doha,Location_Old Airport Road,Location_Ras Abu Aboud,Location_Rawdat Al Matar,Location_Salata,Location_Salwa Road,Location_The Pearl,Location_Umm Al Seneem,Location_Umm Ghuwailina,Location_Umm Salal Ali,Location_Umm Salal Mohammad,Location_Wadi Al Sail,Location_West Bay,Location_West Bay Lagoon,Value
60.0,1,1,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6500.0
62.0,1,1,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7000.0
60.0,1,1,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6700.0
61.0,1,1,10,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6500.0
60.0,1,1,10,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7500.0
61.0,1,1,10,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6500.0
60.0,1,1,9,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6000.0
60.0,1,1,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6500.0
60.0,1,1,10,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6600.0
53.0,1,1,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6700.0
56.0,1,1,10,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6800.0
65.0,1,1,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6600.0
64.0,1,1,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9500.0
53.0,1,1,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6700.0
